Element,Data type,MinLength,MaxLength,Description,Example,Example in JSON,,,,Create file,Add description,Add specifications,Add example,Closing tag
LastName,Alphanumeric,1,30,"The last name of a user, consumer, shipping record, or account.",<LastName>Smith</LastName>,"{
  ""LastName"": ""Smith""
}",,,,"New-Item -Path . -Name ""LastName.md"" -ItemType ""file"" -Value ""# LastName"";Add-Content -Path "".\LastName.md"" -Value ""`n""","Add-Content -Path "".\LastName.md"" @""
The last name of a user, consumer, shipping record, or account.
""@","Add-Content -Path "".\LastName.md"" -Value ""`n"";Add-Content -Path "".\LastName.md"" -Value ""## Specifications"";Add-Content -Path "".\LastName.md"" -Value ""`n"";Add-Content -Path "".\LastName.md"" -Value ""* Data type: Alphanumeric"";Add-Content -Path "".\LastName.md"" -Value ""* Minimal length: 1"";Add-Content -Path "".\LastName.md"" -Value ""* Maximal length: 30"";Add-Content -Path "".\LastName.md"" -Value ""`n"";Add-Content -Path "".\LastName.md"" -Value ""## Example"";Add-Content -Path "".\LastName.md"" -Value ""`n"";Add-Content -Path "".\LastName.md"" -Value ""`````` json""","Add-Content -Path "".\LastName.md"" @""
{
  ""LastName"": ""Smith""
}
""@","Add-Content -Path "".\LastName.md"" -Value ""``````"""
Lib,Alphanumeric,1,15,The name and version of the library that sent this message.,<Lib>1.1</Lib>,"{
  ""Lib"": ""1.1""
}",,,,"New-Item -Path . -Name ""Lib.md"" -ItemType ""file"" -Value ""# Lib"";Add-Content -Path "".\Lib.md"" -Value ""`n""","Add-Content -Path "".\Lib.md"" @""
The name and version of the library that sent this message.
""@","Add-Content -Path "".\Lib.md"" -Value ""`n"";Add-Content -Path "".\Lib.md"" -Value ""## Specifications"";Add-Content -Path "".\Lib.md"" -Value ""`n"";Add-Content -Path "".\Lib.md"" -Value ""* Data type: Alphanumeric"";Add-Content -Path "".\Lib.md"" -Value ""* Minimal length: 1"";Add-Content -Path "".\Lib.md"" -Value ""* Maximal length: 15"";Add-Content -Path "".\Lib.md"" -Value ""`n"";Add-Content -Path "".\Lib.md"" -Value ""## Example"";Add-Content -Path "".\Lib.md"" -Value ""`n"";Add-Content -Path "".\Lib.md"" -Value ""`````` json""","Add-Content -Path "".\Lib.md"" @""
{
  ""Lib"": ""1.1""
}
""@","Add-Content -Path "".\Lib.md"" -Value ""``````"""
LocalTaxAmount,Numeric,,,The amount of the local tax to pay for this purchase.,,,,,,"New-Item -Path . -Name ""LocalTaxAmount.md"" -ItemType ""file"" -Value ""# LocalTaxAmount"";Add-Content -Path "".\LocalTaxAmount.md"" -Value ""`n""","Add-Content -Path "".\LocalTaxAmount.md"" @""
The amount of the local tax to pay for this purchase.
""@","Add-Content -Path "".\LocalTaxAmount.md"" -Value ""`n"";Add-Content -Path "".\LocalTaxAmount.md"" -Value ""## Specifications"";Add-Content -Path "".\LocalTaxAmount.md"" -Value ""`n"";Add-Content -Path "".\LocalTaxAmount.md"" -Value ""* Data type: Numeric"";Add-Content -Path "".\LocalTaxAmount.md"" -Value ""* Minimal length: "";Add-Content -Path "".\LocalTaxAmount.md"" -Value ""* Maximal length: "";Add-Content -Path "".\LocalTaxAmount.md"" -Value ""`n"";Add-Content -Path "".\LocalTaxAmount.md"" -Value ""## Example"";Add-Content -Path "".\LocalTaxAmount.md"" -Value ""`n"";Add-Content -Path "".\LocalTaxAmount.md"" -Value ""`````` json""","Add-Content -Path "".\LocalTaxAmount.md"" @""

""@","Add-Content -Path "".\LocalTaxAmount.md"" -Value ""``````"""
MarketSpecificId,Alpha,1,1,"The industry or program for which to provide the market-specific data.

The value of B indicates a bill payment.",<MarketSpecificId>B</MarketSpecificId>,"{
  ""MarketSpecificId"": ""B""
}",,,,"New-Item -Path . -Name ""MarketSpecificId.md"" -ItemType ""file"" -Value ""# MarketSpecificId"";Add-Content -Path "".\MarketSpecificId.md"" -Value ""`n""","Add-Content -Path "".\MarketSpecificId.md"" @""
The industry or program for which to provide the market-specific data.

The value of B indicates a bill payment.
""@","Add-Content -Path "".\MarketSpecificId.md"" -Value ""`n"";Add-Content -Path "".\MarketSpecificId.md"" -Value ""## Specifications"";Add-Content -Path "".\MarketSpecificId.md"" -Value ""`n"";Add-Content -Path "".\MarketSpecificId.md"" -Value ""* Data type: Alpha"";Add-Content -Path "".\MarketSpecificId.md"" -Value ""* Minimal length: 1"";Add-Content -Path "".\MarketSpecificId.md"" -Value ""* Maximal length: 1"";Add-Content -Path "".\MarketSpecificId.md"" -Value ""`n"";Add-Content -Path "".\MarketSpecificId.md"" -Value ""## Example"";Add-Content -Path "".\MarketSpecificId.md"" -Value ""`n"";Add-Content -Path "".\MarketSpecificId.md"" -Value ""`````` json""","Add-Content -Path "".\MarketSpecificId.md"" @""
{
  ""MarketSpecificId"": ""B""
}
""@","Add-Content -Path "".\MarketSpecificId.md"" -Value ""``````"""
MerchantName,Alphanumeric,1,25,"The name of the merchant that appears in the cardholder’s statement. To avoid customer inquiries or chargebacks, use a descriptive name.",<MerchantName>Transaction Services</MerchantName>,"{
  ""MerchantName"": ""Transaction Services""
}",,,,"New-Item -Path . -Name ""MerchantName.md"" -ItemType ""file"" -Value ""# MerchantName"";Add-Content -Path "".\MerchantName.md"" -Value ""`n""","Add-Content -Path "".\MerchantName.md"" @""
The name of the merchant that appears in the cardholder’s statement. To avoid customer inquiries or chargebacks, use a descriptive name.
""@","Add-Content -Path "".\MerchantName.md"" -Value ""`n"";Add-Content -Path "".\MerchantName.md"" -Value ""## Specifications"";Add-Content -Path "".\MerchantName.md"" -Value ""`n"";Add-Content -Path "".\MerchantName.md"" -Value ""* Data type: Alphanumeric"";Add-Content -Path "".\MerchantName.md"" -Value ""* Minimal length: 1"";Add-Content -Path "".\MerchantName.md"" -Value ""* Maximal length: 25"";Add-Content -Path "".\MerchantName.md"" -Value ""`n"";Add-Content -Path "".\MerchantName.md"" -Value ""## Example"";Add-Content -Path "".\MerchantName.md"" -Value ""`n"";Add-Content -Path "".\MerchantName.md"" -Value ""`````` json""","Add-Content -Path "".\MerchantName.md"" @""
{
  ""MerchantName"": ""Transaction Services""
}
""@","Add-Content -Path "".\MerchantName.md"" -Value ""``````"""
MerchantPhone,Alphanumeric,1,15,"The phone number of the merchant that appears in the cardholder’s statement. To facilitate cardholder inquiries, use the customer support number.",<MerchantPhone>800-555-1212</MerchantPhone>,"{
  ""MerchantPhone"": ""800-555-1212""
}",,,,"New-Item -Path . -Name ""MerchantPhone.md"" -ItemType ""file"" -Value ""# MerchantPhone"";Add-Content -Path "".\MerchantPhone.md"" -Value ""`n""","Add-Content -Path "".\MerchantPhone.md"" @""
The phone number of the merchant that appears in the cardholder’s statement. To facilitate cardholder inquiries, use the customer support number.
""@","Add-Content -Path "".\MerchantPhone.md"" -Value ""`n"";Add-Content -Path "".\MerchantPhone.md"" -Value ""## Specifications"";Add-Content -Path "".\MerchantPhone.md"" -Value ""`n"";Add-Content -Path "".\MerchantPhone.md"" -Value ""* Data type: Alphanumeric"";Add-Content -Path "".\MerchantPhone.md"" -Value ""* Minimal length: 1"";Add-Content -Path "".\MerchantPhone.md"" -Value ""* Maximal length: 15"";Add-Content -Path "".\MerchantPhone.md"" -Value ""`n"";Add-Content -Path "".\MerchantPhone.md"" -Value ""## Example"";Add-Content -Path "".\MerchantPhone.md"" -Value ""`n"";Add-Content -Path "".\MerchantPhone.md"" -Value ""`````` json""","Add-Content -Path "".\MerchantPhone.md"" @""
{
  ""MerchantPhone"": ""800-555-1212""
}
""@","Add-Content -Path "".\MerchantPhone.md"" -Value ""``````"""
MerchantState,Alpha,2,2,"The two-letter code of the merchant's state that appears in the cardholder’s statement. This element uses the ISO 3166-2 subdivision code without the country prefix. For more information, see https://en.wikipedia.org/wiki/ISO_3166-2:US.",<MerchantState>DE</MerchantState>,"{
  ""MerchantState"": ""DE""
}",,,,"New-Item -Path . -Name ""MerchantState.md"" -ItemType ""file"" -Value ""# MerchantState"";Add-Content -Path "".\MerchantState.md"" -Value ""`n""","Add-Content -Path "".\MerchantState.md"" @""
The two-letter code of the merchant's state that appears in the cardholder’s statement. This element uses the ISO 3166-2 subdivision code without the country prefix. For more information, see https://en.wikipedia.org/wiki/ISO_3166-2:US.
""@","Add-Content -Path "".\MerchantState.md"" -Value ""`n"";Add-Content -Path "".\MerchantState.md"" -Value ""## Specifications"";Add-Content -Path "".\MerchantState.md"" -Value ""`n"";Add-Content -Path "".\MerchantState.md"" -Value ""* Data type: Alpha"";Add-Content -Path "".\MerchantState.md"" -Value ""* Minimal length: 2"";Add-Content -Path "".\MerchantState.md"" -Value ""* Maximal length: 2"";Add-Content -Path "".\MerchantState.md"" -Value ""`n"";Add-Content -Path "".\MerchantState.md"" -Value ""## Example"";Add-Content -Path "".\MerchantState.md"" -Value ""`n"";Add-Content -Path "".\MerchantState.md"" -Value ""`````` json""","Add-Content -Path "".\MerchantState.md"" @""
{
  ""MerchantState"": ""DE""
}
""@","Add-Content -Path "".\MerchantState.md"" -Value ""``````"""
Message,Array of elements,N/A,N/A,This is a description!,,"{
  ""Authentication"": {},
  ""Request"": {},
  ""Signature"": ""string"",
  ""Protocol"": ""Http""
}",,,,"New-Item -Path . -Name ""Message.md"" -ItemType ""file"" -Value ""# Message"";Add-Content -Path "".\Message.md"" -Value ""`n""","Add-Content -Path "".\Message.md"" @""
Contains attributes and child elements that define a transaction request or response. This element is the root element for all messages that you send or receive from the Transaction Services system.
""@","Add-Content -Path "".\Message.md"" -Value ""`n"";Add-Content -Path "".\Message.md"" -Value ""## Specifications"";Add-Content -Path "".\Message.md"" -Value ""`n"";Add-Content -Path "".\Message.md"" -Value ""* Data type: Array of elements"";Add-Content -Path "".\Message.md"" -Value ""`n"";Add-Content -Path "".\Message.md"" -Value ""## Example"";Add-Content -Path "".\Message.md"" -Value ""`n"";Add-Content -Path "".\Message.md"" -Value ""`````` json""","Add-Content -Path "".\Message.md"" @""
{
  ""Authentication"": {},
  ""Request"": {},
  ""Signature"": ""string"",
  ""Protocol"": ""Http""
}
""@","Add-Content -Path "".\Message.md"" -Value ""``````"""
NetAmount,Currency,3,12,The net amount within a batch. The system calculates the value of this element automatically as the number difference between DebitAmount and CreditAmount.,<NetAmount>564.29</NetAmount>,"{
  ""NetAmount"": ""564.29""
}",,,,"New-Item -Path . -Name ""NetAmount.md"" -ItemType ""file"" -Value ""# NetAmount"";Add-Content -Path "".\NetAmount.md"" -Value ""`n""","Add-Content -Path "".\NetAmount.md"" @""
The net amount within a batch. The system calculates the value of this element automatically as the number difference between DebitAmount and CreditAmount.
""@","Add-Content -Path "".\NetAmount.md"" -Value ""`n"";Add-Content -Path "".\NetAmount.md"" -Value ""## Specifications"";Add-Content -Path "".\NetAmount.md"" -Value ""`n"";Add-Content -Path "".\NetAmount.md"" -Value ""* Data type: Currency"";Add-Content -Path "".\NetAmount.md"" -Value ""* Minimal length: 3"";Add-Content -Path "".\NetAmount.md"" -Value ""* Maximal length: 12"";Add-Content -Path "".\NetAmount.md"" -Value ""`n"";Add-Content -Path "".\NetAmount.md"" -Value ""## Example"";Add-Content -Path "".\NetAmount.md"" -Value ""`n"";Add-Content -Path "".\NetAmount.md"" -Value ""`````` json""","Add-Content -Path "".\NetAmount.md"" @""
{
  ""NetAmount"": ""564.29""
}
""@","Add-Content -Path "".\NetAmount.md"" -Value ""``````"""
NoShow,Integer,1,1,An indicator that marks a transaction that occurs when a customer does not show up for scheduled service at a merchant. You can use this element when the Industry is set to Hotel.,,"{
  ""NoShow"": ""0""
}",,,,"New-Item -Path . -Name ""NoShow.md"" -ItemType ""file"" -Value ""# NoShow"";Add-Content -Path "".\NoShow.md"" -Value ""`n""","Add-Content -Path "".\NoShow.md"" @""
An indicator that marks a transaction that occurs when a customer does not show up for scheduled service at a merchant. You can use this element when the Industry is set to Hotel.
""@","Add-Content -Path "".\NoShow.md"" -Value ""`n"";Add-Content -Path "".\NoShow.md"" -Value ""## Specifications"";Add-Content -Path "".\NoShow.md"" -Value ""`n"";Add-Content -Path "".\NoShow.md"" -Value ""* Data type: Integer"";Add-Content -Path "".\NoShow.md"" -Value ""* Minimal length: 1"";Add-Content -Path "".\NoShow.md"" -Value ""* Maximal length: 1"";Add-Content -Path "".\NoShow.md"" -Value ""`n"";Add-Content -Path "".\NoShow.md"" -Value ""## Example"";Add-Content -Path "".\NoShow.md"" -Value ""`n"";Add-Content -Path "".\NoShow.md"" -Value ""`````` json""","Add-Content -Path "".\NoShow.md"" @""
{
  ""NoShow"": ""0""
}
""@","Add-Content -Path "".\NoShow.md"" -Value ""``````"""
OnFile,Boolean,1,1,"The status of a NegativeDB Lookup request.

The value of false (0) indicates that a NegativeDB record is not on file.
The value of true (1) indicates that a NegativeDB record is on file.",<OnFile>0</OnFile>,"{
  ""OnFile"": ""0""
}",,,,"New-Item -Path . -Name ""OnFile.md"" -ItemType ""file"" -Value ""# OnFile"";Add-Content -Path "".\OnFile.md"" -Value ""`n""","Add-Content -Path "".\OnFile.md"" @""
The status of a NegativeDB Lookup request.

The value of false (0) indicates that a NegativeDB record is not on file.
The value of true (1) indicates that a NegativeDB record is on file.
""@","Add-Content -Path "".\OnFile.md"" -Value ""`n"";Add-Content -Path "".\OnFile.md"" -Value ""## Specifications"";Add-Content -Path "".\OnFile.md"" -Value ""`n"";Add-Content -Path "".\OnFile.md"" -Value ""* Data type: Boolean"";Add-Content -Path "".\OnFile.md"" -Value ""* Minimal length: 1"";Add-Content -Path "".\OnFile.md"" -Value ""* Maximal length: 1"";Add-Content -Path "".\OnFile.md"" -Value ""`n"";Add-Content -Path "".\OnFile.md"" -Value ""## Example"";Add-Content -Path "".\OnFile.md"" -Value ""`n"";Add-Content -Path "".\OnFile.md"" -Value ""`````` json""","Add-Content -Path "".\OnFile.md"" @""
{
  ""OnFile"": ""0""
}
""@","Add-Content -Path "".\OnFile.md"" -Value ""``````"""
Pan,Numeric,13,16,The consumer’s credit card number. You must validate this number using the Luhn algorithm (mod-10) before using it in the request.,<Pan>4111111111111111</Pan>,"{
  ""Pan"": ""4111111111111111""
}",,,,"New-Item -Path . -Name ""Pan.md"" -ItemType ""file"" -Value ""# Pan"";Add-Content -Path "".\Pan.md"" -Value ""`n""","Add-Content -Path "".\Pan.md"" @""
The consumer’s credit card number. You must validate this number using the Luhn algorithm (mod-10) before using it in the request.
""@","Add-Content -Path "".\Pan.md"" -Value ""`n"";Add-Content -Path "".\Pan.md"" -Value ""## Specifications"";Add-Content -Path "".\Pan.md"" -Value ""`n"";Add-Content -Path "".\Pan.md"" -Value ""* Data type: Numeric"";Add-Content -Path "".\Pan.md"" -Value ""* Minimal length: 13"";Add-Content -Path "".\Pan.md"" -Value ""* Maximal length: 16"";Add-Content -Path "".\Pan.md"" -Value ""`n"";Add-Content -Path "".\Pan.md"" -Value ""## Example"";Add-Content -Path "".\Pan.md"" -Value ""`n"";Add-Content -Path "".\Pan.md"" -Value ""`````` json""","Add-Content -Path "".\Pan.md"" @""
{
  ""Pan"": ""4111111111111111""
}
""@","Add-Content -Path "".\Pan.md"" -Value ""``````"""
Par,String,,,,,,,,,"New-Item -Path . -Name ""Par.md"" -ItemType ""file"" -Value ""# Par"";Add-Content -Path "".\Par.md"" -Value ""`n""","Add-Content -Path "".\Par.md"" @""

""@","Add-Content -Path "".\Par.md"" -Value ""`n"";Add-Content -Path "".\Par.md"" -Value ""## Specifications"";Add-Content -Path "".\Par.md"" -Value ""`n"";Add-Content -Path "".\Par.md"" -Value ""* Data type: String"";Add-Content -Path "".\Par.md"" -Value ""* Minimal length: "";Add-Content -Path "".\Par.md"" -Value ""* Maximal length: "";Add-Content -Path "".\Par.md"" -Value ""`n"";Add-Content -Path "".\Par.md"" -Value ""## Example"";Add-Content -Path "".\Par.md"" -Value ""`n"";Add-Content -Path "".\Par.md"" -Value ""`````` json""","Add-Content -Path "".\Par.md"" @""

""@","Add-Content -Path "".\Par.md"" -Value ""``````"""
Params,Array of elements,N/A,N/A,Contains all the sub-elements that make up the configuration parameters for a Host.,,"""Params"": {
      ""Any"": [
        null
      ]
    }",,,,"New-Item -Path . -Name ""Params.md"" -ItemType ""file"" -Value ""# Params"";Add-Content -Path "".\Params.md"" -Value ""`n""","Add-Content -Path "".\Params.md"" @""
Contains all the sub-elements that make up the configuration parameters for a Host.
""@","Add-Content -Path "".\Params.md"" -Value ""`n"";Add-Content -Path "".\Params.md"" -Value ""## Specifications"";Add-Content -Path "".\Params.md"" -Value ""`n"";Add-Content -Path "".\Params.md"" -Value ""* Data type: Array of elements"";Add-Content -Path "".\Params.md"" -Value ""`n"";Add-Content -Path "".\Params.md"" -Value ""## Example"";Add-Content -Path "".\Params.md"" -Value ""`n"";Add-Content -Path "".\Params.md"" -Value ""`````` json""","Add-Content -Path "".\Params.md"" @""
""Params"": {
      ""Any"": [
        null
      ]
    }
""@","Add-Content -Path "".\Params.md"" -Value ""``````"""
PartialApproval,Integer,1,1,An indicator that marks a transaction with partial approval. ,,"{
  ""PartialApproval"": ""0""
}",,,,"New-Item -Path . -Name ""PartialApproval.md"" -ItemType ""file"" -Value ""# PartialApproval"";Add-Content -Path "".\PartialApproval.md"" -Value ""`n""","Add-Content -Path "".\PartialApproval.md"" @""
An indicator that marks a transaction with partial approval. 
""@","Add-Content -Path "".\PartialApproval.md"" -Value ""`n"";Add-Content -Path "".\PartialApproval.md"" -Value ""## Specifications"";Add-Content -Path "".\PartialApproval.md"" -Value ""`n"";Add-Content -Path "".\PartialApproval.md"" -Value ""* Data type: Integer"";Add-Content -Path "".\PartialApproval.md"" -Value ""* Minimal length: 1"";Add-Content -Path "".\PartialApproval.md"" -Value ""* Maximal length: 1"";Add-Content -Path "".\PartialApproval.md"" -Value ""`n"";Add-Content -Path "".\PartialApproval.md"" -Value ""## Example"";Add-Content -Path "".\PartialApproval.md"" -Value ""`n"";Add-Content -Path "".\PartialApproval.md"" -Value ""`````` json""","Add-Content -Path "".\PartialApproval.md"" @""
{
  ""PartialApproval"": ""0""
}
""@","Add-Content -Path "".\PartialApproval.md"" -Value ""``````"""
PayPage,Array of elements,N/A,N/A,Contains attributes and child elements that are required to create a request to the pay page.,,"""PayPage"": {
      ""Guid"": ""string""
    }",,,,"New-Item -Path . -Name ""PayPage.md"" -ItemType ""file"" -Value ""# PayPage"";Add-Content -Path "".\PayPage.md"" -Value ""`n""","Add-Content -Path "".\PayPage.md"" @""
Contains attributes and child elements that are required to create a request to the pay page.
""@","Add-Content -Path "".\PayPage.md"" -Value ""`n"";Add-Content -Path "".\PayPage.md"" -Value ""## Specifications"";Add-Content -Path "".\PayPage.md"" -Value ""`n"";Add-Content -Path "".\PayPage.md"" -Value ""* Data type: Array of elements"";Add-Content -Path "".\PayPage.md"" -Value ""`n"";Add-Content -Path "".\PayPage.md"" -Value ""## Example"";Add-Content -Path "".\PayPage.md"" -Value ""`n"";Add-Content -Path "".\PayPage.md"" -Value ""`````` json""","Add-Content -Path "".\PayPage.md"" @""
""PayPage"": {
      ""Guid"": ""string""
    }
""@","Add-Content -Path "".\PayPage.md"" -Value ""``````"""
Phone,Alphanumeric,1,15,"The phone number of a user, consumer, shipping record, or account.",<Phone>212-555-1212</Phone>,"{
  ""Phone"": ""212-555-1212""
}",,,,"New-Item -Path . -Name ""Phone.md"" -ItemType ""file"" -Value ""# Phone"";Add-Content -Path "".\Phone.md"" -Value ""`n""","Add-Content -Path "".\Phone.md"" @""
The phone number of a user, consumer, shipping record, or account.
""@","Add-Content -Path "".\Phone.md"" -Value ""`n"";Add-Content -Path "".\Phone.md"" -Value ""## Specifications"";Add-Content -Path "".\Phone.md"" -Value ""`n"";Add-Content -Path "".\Phone.md"" -Value ""* Data type: Alphanumeric"";Add-Content -Path "".\Phone.md"" -Value ""* Minimal length: 1"";Add-Content -Path "".\Phone.md"" -Value ""* Maximal length: 15"";Add-Content -Path "".\Phone.md"" -Value ""`n"";Add-Content -Path "".\Phone.md"" -Value ""## Example"";Add-Content -Path "".\Phone.md"" -Value ""`n"";Add-Content -Path "".\Phone.md"" -Value ""`````` json""","Add-Content -Path "".\Phone.md"" @""
{
  ""Phone"": ""212-555-1212""
}
""@","Add-Content -Path "".\Phone.md"" -Value ""``````"""
PinBlock,String,16,16,"A block of data that encapsulates a PIN during processing. The PIN block includes the PIN, its length, and a subset of the PAN.",,,,,,"New-Item -Path . -Name ""PinBlock.md"" -ItemType ""file"" -Value ""# PinBlock"";Add-Content -Path "".\PinBlock.md"" -Value ""`n""","Add-Content -Path "".\PinBlock.md"" @""
A block of data that encapsulates a PIN during processing. The PIN block includes the PIN, its length, and a subset of the PAN.
""@","Add-Content -Path "".\PinBlock.md"" -Value ""`n"";Add-Content -Path "".\PinBlock.md"" -Value ""## Specifications"";Add-Content -Path "".\PinBlock.md"" -Value ""`n"";Add-Content -Path "".\PinBlock.md"" -Value ""* Data type: String"";Add-Content -Path "".\PinBlock.md"" -Value ""* Minimal length: 16"";Add-Content -Path "".\PinBlock.md"" -Value ""* Maximal length: 16"";Add-Content -Path "".\PinBlock.md"" -Value ""`n"";Add-Content -Path "".\PinBlock.md"" -Value ""## Example"";Add-Content -Path "".\PinBlock.md"" -Value ""`n"";Add-Content -Path "".\PinBlock.md"" -Value ""`````` json""","Add-Content -Path "".\PinBlock.md"" @""

""@","Add-Content -Path "".\PinBlock.md"" -Value ""``````"""
PinPadSerialNum,String,10,10,The serial number of the PIN pad.,,,,,,"New-Item -Path . -Name ""PinPadSerialNum.md"" -ItemType ""file"" -Value ""# PinPadSerialNum"";Add-Content -Path "".\PinPadSerialNum.md"" -Value ""`n""","Add-Content -Path "".\PinPadSerialNum.md"" @""
The serial number of the PIN pad.
""@","Add-Content -Path "".\PinPadSerialNum.md"" -Value ""`n"";Add-Content -Path "".\PinPadSerialNum.md"" -Value ""## Specifications"";Add-Content -Path "".\PinPadSerialNum.md"" -Value ""`n"";Add-Content -Path "".\PinPadSerialNum.md"" -Value ""* Data type: String"";Add-Content -Path "".\PinPadSerialNum.md"" -Value ""* Minimal length: 10"";Add-Content -Path "".\PinPadSerialNum.md"" -Value ""* Maximal length: 10"";Add-Content -Path "".\PinPadSerialNum.md"" -Value ""`n"";Add-Content -Path "".\PinPadSerialNum.md"" -Value ""## Example"";Add-Content -Path "".\PinPadSerialNum.md"" -Value ""`n"";Add-Content -Path "".\PinPadSerialNum.md"" -Value ""`````` json""","Add-Content -Path "".\PinPadSerialNum.md"" @""

""@","Add-Content -Path "".\PinPadSerialNum.md"" -Value ""``````"""
Postal,Alphanumeric,1,9,"The postal code of a user, consumer, shipping record, or account.",<Postal>12345</Postal>,"{
  ""Postal"": ""12345""
}",,,,"New-Item -Path . -Name ""Postal.md"" -ItemType ""file"" -Value ""# Postal"";Add-Content -Path "".\Postal.md"" -Value ""`n""","Add-Content -Path "".\Postal.md"" @""
The postal code of a user, consumer, shipping record, or account.
""@","Add-Content -Path "".\Postal.md"" -Value ""`n"";Add-Content -Path "".\Postal.md"" -Value ""## Specifications"";Add-Content -Path "".\Postal.md"" -Value ""`n"";Add-Content -Path "".\Postal.md"" -Value ""* Data type: Alphanumeric"";Add-Content -Path "".\Postal.md"" -Value ""* Minimal length: 1"";Add-Content -Path "".\Postal.md"" -Value ""* Maximal length: 9"";Add-Content -Path "".\Postal.md"" -Value ""`n"";Add-Content -Path "".\Postal.md"" -Value ""## Example"";Add-Content -Path "".\Postal.md"" -Value ""`n"";Add-Content -Path "".\Postal.md"" -Value ""`````` json""","Add-Content -Path "".\Postal.md"" @""
{
  ""Postal"": ""12345""
}
""@","Add-Content -Path "".\Postal.md"" -Value ""``````"""
Protocol,String,,,"The data transmission method. Possible values are Raw and Http. 

Currently, the Transaction Services system supports only the Http value for this element, which stands for the HTTPS data transfer protocol.",,"{
  ""Protocol"": ""Http""
}",,,,"New-Item -Path . -Name ""Protocol.md"" -ItemType ""file"" -Value ""# Protocol"";Add-Content -Path "".\Protocol.md"" -Value ""`n""","Add-Content -Path "".\Protocol.md"" @""
The data transmission method. Possible values are Raw and Http. 

Currently, the Transaction Services system supports only the Http value for this element, which stands for the HTTPS data transfer protocol.
""@","Add-Content -Path "".\Protocol.md"" -Value ""`n"";Add-Content -Path "".\Protocol.md"" -Value ""## Specifications"";Add-Content -Path "".\Protocol.md"" -Value ""`n"";Add-Content -Path "".\Protocol.md"" -Value ""* Data type: String"";Add-Content -Path "".\Protocol.md"" -Value ""* Minimal length: "";Add-Content -Path "".\Protocol.md"" -Value ""* Maximal length: "";Add-Content -Path "".\Protocol.md"" -Value ""`n"";Add-Content -Path "".\Protocol.md"" -Value ""## Example"";Add-Content -Path "".\Protocol.md"" -Value ""`n"";Add-Content -Path "".\Protocol.md"" -Value ""`````` json""","Add-Content -Path "".\Protocol.md"" @""
{
  ""Protocol"": ""Http""
}
""@","Add-Content -Path "".\Protocol.md"" -Value ""``````"""
PurchaseData,Array of elements,N/A,N/A,Contains the tax information about this purchase.,,"""PurchaseData"": {
      ""Content"": [
        {
          ""LocalTaxAmount"": 0
        }
      ]
    }",,,,"New-Item -Path . -Name ""PurchaseData.md"" -ItemType ""file"" -Value ""# PurchaseData"";Add-Content -Path "".\PurchaseData.md"" -Value ""`n""","Add-Content -Path "".\PurchaseData.md"" @""
Contains the tax information about this purchase.
""@","Add-Content -Path "".\PurchaseData.md"" -Value ""`n"";Add-Content -Path "".\PurchaseData.md"" -Value ""## Specifications"";Add-Content -Path "".\PurchaseData.md"" -Value ""`n"";Add-Content -Path "".\PurchaseData.md"" -Value ""* Data type: Array of elements"";Add-Content -Path "".\PurchaseData.md"" -Value ""`n"";Add-Content -Path "".\PurchaseData.md"" -Value ""## Example"";Add-Content -Path "".\PurchaseData.md"" -Value ""`n"";Add-Content -Path "".\PurchaseData.md"" -Value ""`````` json""","Add-Content -Path "".\PurchaseData.md"" @""
""PurchaseData"": {
      ""Content"": [
        {
          ""LocalTaxAmount"": 0
        }
      ]
    }
""@","Add-Content -Path "".\PurchaseData.md"" -Value ""``````"""
PurchaseId,Alphanumeric,1,25,"The purchase identifier such as the order number, invoice number, text description, and so on. The cardholder can reference this identifier when contacting the merchant or issuer.",<PurchaseId>1234567890</PurchaseId>,"{
  ""PurchaseId"": ""1234567890""
}",,,,"New-Item -Path . -Name ""PurchaseId.md"" -ItemType ""file"" -Value ""# PurchaseId"";Add-Content -Path "".\PurchaseId.md"" -Value ""`n""","Add-Content -Path "".\PurchaseId.md"" @""
The purchase identifier such as the order number, invoice number, text description, and so on. The cardholder can reference this identifier when contacting the merchant or issuer.
""@","Add-Content -Path "".\PurchaseId.md"" -Value ""`n"";Add-Content -Path "".\PurchaseId.md"" -Value ""## Specifications"";Add-Content -Path "".\PurchaseId.md"" -Value ""`n"";Add-Content -Path "".\PurchaseId.md"" -Value ""* Data type: Alphanumeric"";Add-Content -Path "".\PurchaseId.md"" -Value ""* Minimal length: 1"";Add-Content -Path "".\PurchaseId.md"" -Value ""* Maximal length: 25"";Add-Content -Path "".\PurchaseId.md"" -Value ""`n"";Add-Content -Path "".\PurchaseId.md"" -Value ""## Example"";Add-Content -Path "".\PurchaseId.md"" -Value ""`n"";Add-Content -Path "".\PurchaseId.md"" -Value ""`````` json""","Add-Content -Path "".\PurchaseId.md"" @""
{
  ""PurchaseId"": ""1234567890""
}
""@","Add-Content -Path "".\PurchaseId.md"" -Value ""``````"""
